timestamp;Rain intensity (mm/h);Rain amount accumulated (mm);Weather code to SYNOP waw;Weather code to SYNOP ww;Weather code METAR/SPECI;Weather code according to NWS;Radar reflectivity (dBz);MOR visibility in precipitation (m);Sample interval (s);Signal amplitude of the laser strip;Number of particles detected and validated;Temperature in the sensor housing (°C);Sensor serial number;Firmware IOP version number;Firmware DSP version number;Sensor head heating current (A);Power supply voltage (V);Sensor status;Sensor time;Sensor date;Station name;Station number;Rain amount absolute (mm);Error code;Temperature PCB (°C);Temperature right sensor head (°C);Temperature left sensor head (°C);Rain intensity max. 30.000 mm/h (mm/h);Rain intensity max. 1200.0 mm/h (mm/h);Rain amount accumulate (mm);Radar reflectivity (dBz);Kinetic energy (J/(m^2h));Snow depth intensity (mm/h);Number of all particles detected
2023-02-21T09:16:00.116974;0000.000;0000.00;00;00;   NP;   C;-9.999;20000;00043;13066;00000;008;450994;2.11.6;2.11.1;2.00;24.2;0;09:13:59;21.02.2023;GV;008;0000.00;000;022;011;011;00.000;0000.0;0000.00;-9.99;0000.00;0000.00;00000000
2023-02-21T09:17:00.098754;0000.000;0000.00;00;00;   NP;   C;-9.999;20000;00060;13062;00000;008;450994;2.11.6;2.11.1;2.00;24.2;0;09:14:59;21.02.2023;GV;008;0000.00;000;022;011;011;00.000;0000.0;0000.00;-9.99;0000.00;0000.00;00000000
2023-02-21T09:25:00.985707;0000.000;0000.00;00;00;   NP;   C;-9.999;20000;00024;13059;00000;008;450994;2.11.6;2.11.1;2.00;24.2;0;09:23:00;21.02.2023;GV;008;0000.00;000;022;011;011;00.000;0000.0;0000.00;-9.99;0000.00;0000.00;00000000
2023-02-21T09:26:00.963695;0000.000;0000.00;00;00;   NP;   C;-9.999;20000;00060;13079;00000;008;450994;2.11.6;2.11.1;2.00;24.2;0;09:23:59;21.02.2023;GV;008;0000.00;000;022;011;011;00.000;0000.0;0000.00;-9.99;0000.00;00000
2023-02-21T09:27:00.935865;0000.000;0000.00;00;00;   NP;   C;-9.999;20000;00060;13059;00000;008;450994;2.11.6;2.11.1;2.00;24.2;0;09:24:59;21.02.2023;GV;008;0000.00;000;022;011;011;00.000;0000.0;0000.00;-9.99;0000.00;0000.00;00000000
2023-02-21T09:28:00.909722;0000.000;0000.00;00;00;   NP;   C;-9.999;20000;00060;13072;00000;008;450994;2.11.6;2.11.1;2.00;24.2;0;09:25:59;21.02.2023;GV;008;0000.00;000;022;011;011;00.000;0000.0;0000.00;-9.99;0000.00;0000.00;00000000
2023-02-21T09:29:00.882577;0000.000;0000.00;00;00;   NP;   C;-9.999;20000;00060;13053;00000;008;450994;2.11.6;2.11.1;2.00;24.2;0;09:26:59;21.02.2023;GV;008;0000.00;000;022;011;011;00.000;0000.0;0000.00;-9.99;0000.00;0000.00;00000000
2023-02-21T09:30:00.857174;0000.000;0000.00;00;00;   NP;   C;-9.999;20000;00060;13057;00000;008;450994;2.11.6;2.11.1;2.00;24.2;0;09:27:59;21.02.2023;GV;008;0000.00;000;022;011;011;00.000;0000.0;0000.00;-9.99;0000.00;0000.00;00000000
2023-02-21T09:31:00.829034;0000.000;0000.00;00;00;   NP;   C;-9.999;20000;00060;13064;00000;008;450994;2.11.6;2.11.1;2.00;24.2;0;09:28:59;21.02.2023;GV;008;0000.00;000;022;011;011;00.000;0000.0;0000.00;-9.99;0000.00;0000.00;00000000
2023-02-21T09:32:00.810974;0000.000;0000.00;00;00;   NP;   C;-9.999;20000;00060;13054;00000;008;450994;2.11.6;2.11.1;2.00;24.2;0;09:29:59;21.02.2023;GV;008;0000.00;000;022;011;011;00.000;0000.0;0000.00;-9.99;0000.00;0000.00;00000000
2023-02-21T09:33:00.779537;0000.000;0000.00;00;00;   NP;   C;-9.999;20000;00060;13064;00000;008;450994;2.11.6;2.11.1;2.00;24.2;0;09:30:59;21.02.2023;GV;008;0000.00;000;022;011;011;00.000;0000.0;0000.00;-9.99;0000.00;0000.00;00000000
2023-02-21T09:34:00.751193;0000.000;0000.00;00;00;   NP;   C;-9.999;20000;00060;13073;00000;008;450994;2.11.6;2.11.1;2.00;24.2;0;09:31:59;21.02.2023;GV;008;0000.00;000;022;011;011;00.000;0000.0;0000.00;-9.99;0000.00;0000.00;00000000
2023-02-21T09:36:00.375195;0000.000;0000.00;00;00;   NP;   C;-9.999;20000;00060;13060;00000;008;450994;2.11.6;2.11.1;2.00;24.2;0;09:33:59;21.02.2023;GV;008;0000.00;000;022;011;011;00.000;0000.0;0000.00;-9.99;0000.00;0000.00;00000000
2023-02-21T09:37:00.350955;0000.000;0000.00;00;00;   NP;   C;-9.999;20000;00060;13071;00000;008;450994;2.11.6;2.11.1;2.00;24.2;0;09:34:59;21.02.2023;GV;008;0000.00;000;022;011;011;00.000;0000.0;0000.00;-9.99;0000.00;0000.00;00000000
2023-02-21T09:39:00.397086;0000.000;0000.00;00;00;   NP;   C;-9.999;20000;00060;13077;00000;008;450994;2.11.6;2.11.1;2.00;24.2;0;09:36:59;21.02.2023;GV;008;0000.00;000;022;011;011;00.000;0000.0;0000.00;-9.99;0000.00;0000.00;00000000
2023-02-21T09:40:00.368955;0000.000;0000.00;00;00;   NP;   C;-9.999;20000;00060;13053;00000;008;450994;2.11.6;2.11.1;2.00;24.2;0;09:37:59;21.02.2023;GV;008;0000.00;000;022;011;011;00.000;0000.0;0000.00;-9.99;0000.00;0000.00;00000000
2023-02-21T09:41:00.344649;0000.000;0000.00;00;00;   NP;   C;-9.999;20000;00060;13051;00000;008;450994;2.11.6;2.11.1;2.00;24.2;0;09:38:59;21.02.2023;GV;008;0000.00;000;022;011;011;00.000;0000.0;0000.00;-9.99;0000.00;0000.00;00000000
2023-02-21T09:42:00.315533;0000.000;0000.00;00;00;   NP;   C;-9.999;20000;00060;13077;00000;008;450994;2.11.6;2.11.1;2.00;24.2;0;09:39:59;21.02.2023;GV;008;0000.00;000;022;011;011;00.000;0000.0;0000.00;-9.99;0000.00;0000.00;00000000
2023-02-21T09:43:00.289400;0000.000;0000.00;00;00;   NP;   C;-9.999;20000;00060;13061;00000;008;450994;2.11.6;2.11.1;2.00;24.2;0;09:40:59;21.02.2023;GV;008;0000.00;000;022;011;011;00.000;0000.0;0000.00;-9.99;0000.00;0000.00;00000000
2023-02-21T09:44:00.262877;0000.000;0000.00;00;00;   NP;   C;-9.999;20000;00060;13071;00000;008;450994;2.11.6;2.11.1;2.00;24.2;0;09:41:59;21.02.2023;GV;008;0000.00;000;022;010;011;00.000;0000.0;0000.00;-9.99;0000.00;0000.00;00000000
2023-02-21T09:45:00.236337;0000.000;0000.00;00;00;   NP;   C;-9.999;20000;00060;13064;00000;008;450994;2.11.6;2.11.1;2.00;24.2;0;09:42:59;21.02.2023;GV;008;0000.00;000;022;010;011;00.000;0000.0;0000.00;-9.99;0000.00;0000.00;00000000
2023-02-21T09:46:00.211228;0000.000;0000.00;00;00;   NP;   C;-9.999;20000;00060;13080;00000;008;450994;2.11.6;2.11.1;2.00;24.2;0;09:43:59;21.02.2023;GV;008;0000.00;000;022;010;010;00.000;0000.0;0000.00;-9.99;0000.00;0000.00;00000000
2023-02-21T09:57:00.778446;0000.000;0000.00;00;00;   NP;   C;-9.999;20000;00060;13057;00000;008;450994;2.11.6;2.11.1;2.00;24.2;0;09:54:59;21.02.2023;GV;008;0000.00;000;022;010;010;00.000;0000.0;0000.00;-9.99;0000.00;0000.00;00000000
2023-02-21T09:58:00.034156;0000.000;0000.00;00;00;   NP;   C;-9.999;20000;00014;13037;00000;008;450994;2.11.6;2.11.1;2.00;24.2;0;09:55:59;21.02.2023;GV;008;0000.00;000;022;010;010;00.000;0000.0;0000.00;-9.99;0000.00;0000.00;00000000
2023-02-21T09:59:00.014721;0000.000;0000.00;00;00;   NP;   C;-9.999;20000;00060;13049;00000;008;450994;2.11.6;2.11.1;2.00;24.2;0;09:56:59;21.02.2023;GV;008;0000.00;000;022;010;010;00.000;0000.0;0000.00;-9.99;0000.00;0000.00;00000000
2023-02-21T10:00:00.986968;0000.000;0000.00;00;00;   NP;   C;-9.999;20000;00061;13047;00000;008;450994;2.11.6;2.11.1;2.00;24.2;0;09:57:59;21.02.2023;GV;008;0000.00;000;022;010;010;00.000;0000.0;0000.00;-9.99;0000.00;0000.00;00000000
2023-02-21T10:01:00.965928;0000.000;0000.00;00;00;   NP;   C;-9.999;20000;00060;13069;00000;008;450994;2.11.6;2.11.1;2.00;24.2;0;09:58:59;21.02.2023;GV;008;0000.00;000;022;010;010;00.000;0000.0;0000.00;-9.99;0000.00;0000.00;00000000
2023-02-21T10:02:00.778521;0000.000;0000.00;00;00;   NP;   C;-9.999;20000;00022;13008;00000;008;450994;2.11.6;2.11.1;2.00;24.2;0;09:59:59;21.02.2023;GV;008;0000.00;000;022;010;010;00.000;0000.0;0000.00;-9.99;0000.00;0000.00;00000000
2023-02-21T10:03:00.755560;0000.000;0000.00;00;00;   NP;   C;-9.999;20000;00060;13019;00000;008;450994;2.11.6;2.11.1;2.00;24.2;0;10:00:59;21.02.2023;GV;008;0000.00;000;022;010;010;00.000;0000.0;0000.00;-9.99;0000.00;0000.00;00000000
2023-02-21T10:13:00.239269;0000.000;0000.00;00;00;   NP;   C;-9.999;20000;00059;13025;00000;008;450994;2.11.6;2.11.1;2.00;24.2;0;10:10:59;21.02.2023;GV;008;0000.00;000;021;010;010;00.000;0000.0;0000.00;-9.99;0000.00;0000.00;00000000
2023-02-21T10:14:00.211360;0000.000;0000.00;00;00;   NP;   C;-9.999;20000;00060;13034;00000;008;450994;2.11.6;2.11.1;2.00;24.2;0;10:11:59;21.02.2023;GV;008;0000.00;000;021;010;010;00.000;0000.0;0000.00;-9.99;0000.00;0000.00;00000001
2023-02-21T10:54:00.146132;0000.000;0000.00;00;00;   NP;   C;-9.999;20000;00050;12977;00000;007;450994;2.11.6;2.11.1;2.00;24.2;0;10:51:59;21.02.2023;GV;008;0000.00;000;021;010;010;00.000;0000.0;0000.00;-9.99;0000.00;0000.00;00000009
2023-02-21T10:56:00.509653;0000.000;0000.00;00;00;   NP;   C;-9.999;20000;00060;12978;00000;007;450994;2.11.6;2.11.1;2.00;24.2;0;10:53:59;21.02.2023;GV;008;0000.00;000;021;010;010;00.000;0000.0;0000.00;-9.99;0000.00;0000.00;00000001
2023-02-21T11:02:00.471914;0000.000;0000.00;00;00;   NP;   C;-9.999;20000;00046;12962;00000;007;450994;2.11.6;2.11.1;2.00;24.2;0;10:59:59;21.02.2023;GV;008;0000.00;000;021;010;010;00.000;0000.0;0000.00;-9.99;0000.00;0000.00;00000001
2023-02-21T11:03:00.214195;0000.000;0000.00;00;00;   NP;   C;-9.999;20000;00019;12945;00000;007;450994;2.11.6;2.11.1;2.00;24.2;0;11:00:59;21.02.2023;GV;008;0000.00;000;021;010;010;00.000;0000.0;0000.00;-9.99;0000.00;0000.00;00000003
2023-02-21T11:04:00.220256;0000.000;0000.00;00;00;   NP;   C;-9.999;20000;00060;12986;00000;007;450994;2.11.6;2.11.1;2.00;24.2;0;11:01:59;21.02.2023;GV;008;0000.00;000;021;010;010;00.000;0000.0;0000.00;-9.99;0000.00;0000.00;00000011
2023-02-21T11:05:00.286375;0000.000;0000.00;00;00;   NP;   C;-9.999;20000;00060;12957;00000;007;450994;2.11.6;2.11.1;2.00;24.2;0;11:02:59;21.02.2023;GV;008;0000.00;000;021;010;010;00.000;0000.0;0000.00;-9.99;0000.00;0000.00;00000012
2023-02-21T11:06:00.359571;0000.000;0000.00;00;00;   NP;   C;-9.999;20000;00060;12987;00000;007;450994;2.11.6;2.11.1;2.00;24.2;0;11:03:59;21.02.2023;GV;008;0000.00;000;021;010;010;00.000;0000.0;0000.00;-9.99;0000.00;0000.00;00000011
2023-02-21T11:07:00.427184;0000.000;0000.00;00;00;   NP;   C;-9.999;20000;00060;12964;00000;007;450994;2.11.6;2.11.1;2.00;24.2;0;11:04:59;21.02.2023;GV;008;0000.00;000;021;010;010;00.000;0000.0;0000.00;-9.99;0000.00;0000.00;00000001
2023-02-21T11:08:00.414069;0000.000;0000.00;00;00;   NP;   C;-9.999;20000;00060;12998;00000;007;450994;2.11.6;2.11.1;2.00;24.2;0;11:05:59;21.02.2023;GV;008;0000.00;000;021;010;010;00.000;0000.0;0000.00;-9.99;0000.00;0000.00;00000002
2023-02-21T11:16:00.527827;0000.000;0000.00;00;00;   NP;   C;-9.999;20000;00060;13009;00000;007;450994;2.11.6;2.11.1;2.00;24.2;0;11:13:59;21.02.2023;GV;008;0000.00;000;021;010;010;00.000;0000.0;0000.00;-9.99;0000.00;0000.00;00000000
2023-02-21T11:19:00.637680;0000.000;0000.00;00;00;   NP;   C;-9.999;20000;00063;12964;00000;007;450994;2.11.6;2.11.1;2.00;24.2;0;11:16:59;21.02.2023;GV;008;0000.00;000;021;010;010;00.000;0000.0;0000.00;-9.99;0000.00;0000.00;00000000
2023-02-21T11:23:00.950084;0000.000;0000.00;00;00;   NP;   C;-9.999;20000;00043;12967;00000;007;450994;2.11.6;2.11.1;2.00;24.2;0;11:21:00;21.02.2023;GV;008;0000.00;000;021;010;010;00.000;0000.0;0000.00;-9.99;0000.00;0000.00;00000002
2023-02-21T11:26:00.073302;0000.000;0000.00;00;00;   NP;   C;-9.999;20000;00048;12989;00000;007;450994;2.11.6;2.11.1;2.00;24.2;0;11:23:59;21.02.2023;GV;008;0000.00;000;021;010;010;00.000;0000.0;0000.00;-9.99;0000.00;0000.00;00000001
2023-02-21T11:27:00.059325;0000.000;0000.00;00;00;   NP;   C;-9.999;20000;00060;12981;00000;008;450994;2.11.6;2.11.1;2.00;24.2;0;11:24:59;21.02.2023;GV;008;0000.00;000;021;010;010;00.000;0000.0;0000.00;-9.99;0000.00;0000.00;00000000
2023-02-21T11:28:00.029626;0000.000;0000.00;00;00;   NP;   C;-9.999;20000;00060;13005;00000;008;450994;2.11.6;2.11.1;2.00;24.2;0;11:25:59;21.02.2023;GV;008;0000.00;000;021;010;010;00.000;0000.0;0000.00;-9.99;0000.00;0000.00;00000001
2023-02-21T11:29:00.005694;0000.000;0000.00;00;00;   NP;   C;-9.999;20000;00060;12997;00000;008;450994;2.11.6;2.11.1;2.00;24.2;0;11:26:59;21.02.2023;GV;008;0000.00;000;021;010;010;00.000;0000.0;0000.00;-9.99;0000.00;0000.00;00000001
2023-02-21T11:30:00.995292;0000.000;0000.00;00;00;   NP;   C;-9.999;20000;00061;13005;00000;008;450994;2.11.6;2.11.1;2.00;24.2;0;11:28:00;21.02.2023;GV;008;0000.00;000;021;010;010;00.000;0000.0;0000.00;-9.99;0000.00;0000.00;00000000
2023-02-21T11:31:00.960499;0000.000;0000.00;00;00;   NP;   C;-9.999;20000;00060;12998;00000;008;450994;2.11.6;2.11.1;2.00;24.2;0;11:28:59;21.02.2023;GV;008;0000.00;000;021;010;010;00.000;0000.0;0000.00;-9.99;0000.00;0000.00;00000000
2023-02-21T11:32:00.933772;0000.000;0000.00;00;00;   NP;   C;-9.999;20000;00060;13005;00000;008;450994;2.11.6;2.11.1;2.00;24.2;0;11:29:59;21.02.2023;GV;008;0000.00;000;021;010;010;00.000;0000.0;0000.00;-9.99;0000.00;0000.00;00000001
2023-02-21T11:34:00.749766;0000.000;0000.00;00;00;   NP;   C;-9.999;20000;00025;12994;00000;008;450994;2.11.6;2.11.1;2.00;24.2;0;11:31:59;21.02.2023;GV;008;0000.00;000;021;010;010;00.000;0000.0;0000.00;-9.99;0000.00;0000.00;00000000
2023-02-21T11:35:00.724690;0000.000;0000.00;00;00;   NP;   C;-9.999;20000;00060;12974;00000;008;450994;2.11.6;2.11.1;2.00;24.2;0;11:32:59;21.02.2023;GV;008;0000.00;000;021;010;010;00.000;0000.0;0000.00;-9.99;0000.00;0000.00;00000000
2023-02-21T11:36:00.698274;0000.000;0000.00;00;00;   NP;   C;-9.999;20000;00060;12968;00000;008;450994;2.11.6;2.11.1;2.00;24.2;0;11:33:59;21.02.2023;GV;008;0000.00;000;021;010;010;00.000;0000.0;0000.00;-9.99;0000.00;0000.00;00000003
2023-02-21T11:37:00.690923;0000.000;0000.00;00;00;   NP;   C;-9.999;20000;00060;12975;00000;008;450994;2.11.6;2.11.1;2.00;24.2;0;11:34:59;21.02.2023;GV;008;0000.00;000;021;010;010;00.000;0000.0;0000.00;-9.99;0000.00;0000.00;00000000
2023-02-21T11:38:00.661585;0000.000;0000.00;00;00;   NP;   C;-9.999;20000;00060;12991;00000;008;450994;2.11.6;2.11.1;2.00;24.2;0;11:35:59;21.02.2023;GV;008;0000.00;000;021;010;010;00.000;0000.0;0000.00;-9.99;0000.00;0000.00;00000000
2023-02-21T11:40:00.484824;0000.000;0000.00;00;00;   NP;   C;-9.999;20000;00062;12996;00000;008;450994;2.11.6;2.11.1;2.00;24.2;0;11:37:59;21.02.2023;GV;008;0000.00;000;021;010;010;00.000;0000.0;0000.00;-9.99;0000.00;0000.00;00000001
2023-02-21T11:45:00.976508;0000.000;0000.00;00;00;   NP;   C;-9.999;20000;00058;12998;00000;008;450994;2.11.6;2.11.1;2.00;24.2;0;11:43:00;21.02.2023;GV;008;0000.00;000;021;010;010;00.000;0000.0;0000.00;-9.99;0000.00;0000.00;00000000
